,open,close,high,low,volume,money,mov_percent,movement,EMA-5,ROC-5,RSI,MI
2005-01-25,327.18,327.49,327.53,323.29,742498300.0,4498328041.0,0.5414062640305247,1,0.6677713679777502,0.6307098738591838,0.4968599973904858,-1.1399999999999864
2005-01-26,327.31,324.88,327.64,324.2,615072400.0,3459494731.0,0.49130583893782076,0,0.6166645511253253,0.626600496125163,0.453894728349446,-3.6999999999999886
2005-01-27,324.18,319.4,324.18,319.19,565986000.0,3143743513.0,0.44749459317887647,0,0.5474148938664447,0.6176152683783798,0.3734321294537488,-9.760000000000048
2005-01-28,318.62,315.1,319.71,314.11,559177500.0,2869263943.0,0.4696209358655707,0,0.5152766764587383,0.5337270689696032,0.31901329281527924,-10.20999999999998
2005-01-31,313.62,307.62,313.62,307.24,569474900.0,2877658393.0,0.42124319082942213,0,0.4534166164145128,0.4321244877625685,0.23993538493310998,-10.420000000000016
2005-02-01,306.75,306.08,310.5,305.41,318089700.0,3086990527.0,0.522664608802441,0,0.4852156128571945,0.42398782500951715,0.22543652065373823,-15.480000000000018
2005-02-02,305.97,322.47,322.5,305.97,1063636400.0,5916155081.0,0.8584632647909373,1,0.7360484059958163,0.5669316648944918,0.454205853724053,2.9500000000000455
2005-02-03,322.41,317.07,324.03,316.89,1054502700.0,5836436837.0,0.43661550044400976,0,0.6253226807104861,0.5672355069951865,0.39617662247066443,1.8100000000000023
2005-02-04,316.65,322.85,323.84,315.89,861933800.0,4843757521.0,0.6529130841836599,1,0.6937898296482568,0.6458877650879987,0.4586316935121131,1.0300000000000296
2005-02-16,324.75,326.07,328.68,324.12,774672100.0,4278226654.0,0.5600611116984384,1,0.7064248617031678,0.7331498463084194,0.4909795979922581,-1.910000000000025
2005-02-17,326.09,326.34,326.38,322.96,677462400.0,3565369272.0,0.5403240731155936,1,0.677651913039919,0.7484787579626226,0.4937381549107136,-1.150000000000034
2005-02-18,326.31,322.54,326.61,322.45,598926300.0,3062133970.0,0.46659402960543145,0,0.6082736826044133,0.585762647108966,0.44703929053309066,-2.339999999999975
2005-02-21,322.59,328.26,328.27,322.59,683240000.0,3775292675.0,0.6409231372580918,1,0.6802472232811396,0.6722690150502554,0.5085349995230078,8.860000000000014
2005-02-22,328.57,336.63,336.93,328.06,1392728100.0,7665870098.0,0.6825399178060028,1,0.7602240404433338,0.6904964121846724,0.584687544687133,21.529999999999973
2005-02-23,336.77,338.67,340.47,334.75,1440304800.0,7939153144.0,0.5694997303548078,1,0.7342701375329365,0.6805315397366287,0.6014792416461988,31.05000000000001
2005-02-24,338.25,339.5,339.67,335.44,1140286200.0,6387293080.0,0.5578517782521932,1,0.7025205478327385,0.684684929918834,0.6084899354561295,33.420000000000016
2005-02-25,339.43,339.98,343.99,339.43,1356902400.0,7801311955.0,0.5454330970313247,1,0.6774652217783017,0.7185841904073993,0.612755349145327,17.50999999999999
2005-02-28,339.77,339.57,340.95,337.85,1063925900.0,6050234793.0,0.5322132712192339,0,0.6503611542923835,0.6702034677988872,0.6060067913408627,22.5
2005-03-01,339.41,339.0,340.69,336.45,1045642200.0,5590077479.0,0.5285067774040774,0,0.6305674332125415,0.6025912047485691,0.596104557038846,16.149999999999977
2005-03-02,339.3,333.84,342.0,333.59,1099930400.0,6145851808.0,0.43943306669076976,0,0.5631156625049887,0.550053162025188,0.5106851565784181,7.769999999999982
2005-03-03,333.28,335.83,335.95,330.91,782930700.0,4474390754.0,0.581525009267776,1,0.6027646383883526,0.558566113586107,0.5347596538877316,9.490000000000009
2005-03-04,335.89,334.5,336.76,333.86,715381900.0,4272116780.0,0.5109704006183454,0,0.5898554134786183,0.5454733576756182,0.5127802150824714,11.95999999999998
